名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
,,,,,,,,,,86,-3.1,,,,,
,,,,,,,,,,87,-0.0,,,,,
,,,,,,,,,,88,+22.1,,,,,
,,,,,,,,,,89,+24.0,,,,,
,,,,,,,,,,90,±0,,,,,
,,,,,,,,,,91,+22.1,,,,,
,,,,,,,,,,92,+24.0,,,,,
,,,,,,,,,,93,±0,,,,,
,,,,,,,,,,94,+25.7,,,,,
,,,,,,,,,,95,+1.8,,,,,
,,,,,,,,,,96,+0.0,,,,,
,,,,,,,,,,97,+39.6,,,,,
,,,,,,,,,,98,-64.2,,,,,
,,,,,,,,,,99,+0.0,,,,,
,,,,,,,,,,100,-74.5,,,,,
,,,,,,,,,,101,+2.2,,,,,
,,,,,,,,,,102,+0.0,,,,,
,,,,,,,,,,103,-31.6,,,,,
,,,,,,,,,,104,-35.8,,,,,
,,,,,,,,,,105,+0.0,,,,,
,,,,,,,,,,106,+35.3,,,,,
,,,,,,,,,,107,+34.0,,,,,
,,,,,,,,,,108,+0.0,,,,,
,,,,,,,,,,109,+6.1,,,,,
,,,,,,,,,,110,+57.0,,,,,
,,,,,,,,,,111,+0.0,,,,,
,,,,,,,,,,112,-5.1,,,,,
,,,,,,,,,,113,+31.6,,,,,
,,,,,,,,,,114,+0.0,,,,,
,,,,,,,,,,115,+5.2,,,,,
,,,,,,,,,,116,+41.5,,,,,
,,,,,,,,,,117,+0.0,,,,,
,,,,,,,,,,118,-7.9,,,,,
,,,,,,,,,,119,+55.1,,,,,
,,,,,,,,,,120,+0.0,,,,,
,,,,,,,,,,121,-1.0,,,,,
,,,,,,,,,,122,-30.8,,,,,
,,,,,,,,,,123,+0.0,,,,,
,,,,,,,,,,124,+0.5,,,,,
,,,,,,,,,,125,+29.1,,,,,
,,,,,,,,,,126,+0.0,,,,,
,,,,,,,,,,127,-45.3,,,,,
,,,,,,,,,,128,-59.3,,,,,
,,,,,,,,,,129,+0.0,,,,,
,,,,,,,,,,130,-8.9,,,,,
,,,,,,,,,,131,-47.5,,,,,
,,,,,,,,,,132,+0.0,,,,,
,,,,,,,,,,133,-3.5,,,,,
,,,,,,,,,,134,+27.0,,,,,
,,,,,,,,,,135,+0.0,,,,,
,,,,,,,,,,136,-55.2,,,,,
,,,,,,,,,,137,-80.7,,,,,
,,,,,,,,,,138,+0.0,,,,,
,,,,,,,,,,139,+8.0,,,,,
,,,,,,,,,,140,-63.2,,,,,
,,,,,,,,,,141,+0.0,,,,,
,,,,,,,,,,142,+54.5,,,,,
,,,,,,,,,,143,+8.5,,,,,
,,,,,,,,,,144,+0.0,,,,,
,,,,,,,,,,145,-10.6,,,,,
,,,,,,,,,,146,-61.8,,,,,
,,,,,,,,,,147,+0.0,,,,,
,,,,,,,,,,148,+4.6,,,,,
,,,,,,,,,,149,-25.3,,,,,
,,,,,,,,,,150,+0.0,,,,,
,,,,,,,,,,151,-2.5,,,,,
,,,,,,,,,,152,-50.0,,,,,
,,,,,,,,,,153,+0.0,,,,,
,,,,,,,,,,154,+31.9,,,,,
,,,,,,,,,,155,+28.1,,,,,
,,,,,,,,,,156,+0.0,,,,,
,,,,,,,,,,157,-56.0,,,,,
,,,,,,,,,,158,+13.0,,,,,
,,,,,,,,,,159,+0.0,,,,,
,,,,,,,,,,160,+12.4,,,,,
,,,,,,,,,,161,+49.1,,,,,
,,,,,,,,,,162,+0.0,,,,,
