名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,37.0,局,平均点数,回数,合計
,,,,,,,,,,85,-6.0,,,,,
,,,,,,,,,,86,-26.2,,,,,
,,,,,,,,,,87,+36.0,,,,,
,,,,,,,,,,88,+0.3,,,,,
,,,,,,,,,,89,-16.6,,,,,
,,,,,,,,,,90,+27.4,,,,,
,,,,,,,,,,91,-34.5,,,,,
,,,,,,,,,,92,+26.2,,,,,
,,,,,,,,,,93,-13.8,,,,,
,,,,,,,,,,94,-16.9,,,,,
,,,,,,,,,,95,-25.4,,,,,
,,,,,,,,,,96,+12.5,,,,,
,,,,,,,,,,97,+17.2,,,,,
,,,,,,,,,,98,-30.6,,,,,
,,,,,,,,,,99,+23.8,,,,,
,,,,,,,,,,100,+7.5,,,,,
,,,,,,,,,,101,+17.8,,,,,
,,,,,,,,,,102,-21.8,,,,,
,,,,,,,,,,103,+2.1,,,,,
,,,,,,,,,,104,+5.6,,,,,
,,,,,,,,,,105,-49.0,,,,,
,,,,,,,,,,106,-15.4,,,,,
,,,,,,,,,,107,+42.5,,,,,
,,,,,,,,,,108,+9.0,,,,,
,,,,,,,,,,109,-58.9,,,,,
,,,,,,,,,,110,+40.7,,,,,
,,,,,,,,,,111,-8.5,,,,,
,,,,,,,,,,112,+8.5,,,,,
,,,,,,,,,,113,+274.7,,,,,
