名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,79.4,局,平均点数,回数,合計
,,,,44,国士13面,0 回,0.0%,1 位,,43,+42.0,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,3 位,,44,-5.8,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,45,+1.7,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,46,-34.2,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,47,+12.0,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,48,-7.8,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,49,-5.3,,,,,
,,,,,,,,,,50,-35.5,,,,,
,,,,,,,,,,51,-10.0,,,,,
,,,,,,,,,,52,-16.4,,,,,
,,,,,,,,,,53,+26.5,,,,,
,,,,,,,,,,54,-11.3,,,,,
,,,,,,,,,,55,-9.3,,,,,
,,,,,,,,,,56,+25.1,,,,,
,,,,,,,,,,57,-33.5,,,,,
,,,,,,,,,,58,-37.5,,,,,
,,,,,,,,,,59,-9.4,,,,,
,,,,,,,,,,60,+0.5,,,,,
,,,,,,,,,,61,-12.1,,,,,
,,,,,,,,,,62,-5.2,,,,,
,,,,,,,,,,63,+76.5,,,,,
,,,,,,,,,,64,-35.8,,,,,
,,,,,,,,,,65,-2.2,,,,,
,,,,,,,,,,66,-16.9,,,,,
,,,,,,,,,,67,-37.4,,,,,
,,,,,,,,,,68,+89.7,,,,,
,,,,,,,,,,69,+31.2,,,,,
,,,,,,,,,,70,+40.2,,,,,
,,,,,,,,,,71,-21.0,,,,,
,,,,,,,,,,72,-36.0,,,,,
,,,,,,,,,,73,-9.4,,,,,
,,,,,,,,,,74,+14.5,,,,,
,,,,,,,,,,75,-39.4,,,,,
,,,,,,,,,,76,+1.4,,,,,
,,,,,,,,,,77,-2.8,,,,,
,,,,,,,,,,78,+11.8,,,,,
,,,,,,,,,,79,-15.1,,,,,
,,,,,,,,,,80,-11.7,,,,,
,,,,,,,,,,81,+56.4,,,,,
,,,,,,,,,,82,+45.0,,,,,
,,,,,,,,,,83,-0.7,,,,,
,,,,,,,,,,84,+10.1,,,,,
,,,,,,,,,,85,-35.8,,,,,
,,,,,,,,,,86,-3.8,,,,,
,,,,,,,,,,87,-13.7,,,,,
,,,,,,,,,,88,-41.0,,,,,
,,,,,,,,,,89,-43.1,,,,,
,,,,,,,,,,90,±0,,,,,
,,,,,,,,,,91,-3.7,,,,,
,,,,,,,,,,92,-36.5,,,,,
,,,,,,,,,,93,-41.4,,,,,
,,,,,,,,,,94,+2.2,,,,,
,,,,,,,,,,95,+16.6,,,,,
,,,,,,,,,,96,+30.8,,,,,
,,,,,,,,,,97,+63.7,,,,,
,,,,,,,,,,98,-28.8,,,,,
,,,,,,,,,,99,+23.5,,,,,
,,,,,,,,,,100,-50.5,,,,,
,,,,,,,,,,101,+1.8,,,,,
,,,,,,,,,,102,+51.3,,,,,
,,,,,,,,,,103,-25.1,,,,,
,,,,,,,,,,104,+0.5,,,,,
,,,,,,,,,,105,-0.9,,,,,
,,,,,,,,,,106,+58.2,,,,,
,,,,,,,,,,107,-16.8,,,,,
,,,,,,,,,,108,-16.6,,,,,
,,,,,,,,,,109,+4.5,,,,,
,,,,,,,,,,110,+0.8,,,,,
,,,,,,,,,,111,-22.4,,,,,
,,,,,,,,,,112,-0.8,,,,,
,,,,,,,,,,113,+1.8,,,,,
,,,,,,,,,,114,-5.7,,,,,
,,,,,,,,,,115,+31.7,,,,,
,,,,,,,,,,116,+3.0,,,,,
,,,,,,,,,,117,-13.0,,,,,
,,,,,,,,,,118,-16.9,,,,,
,,,,,,,,,,119,+1.1,,,,,
,,,,,,,,,,120,-33.0,,,,,
,,,,,,,,,,121,-7.5,,,,,
,,,,,,,,,,122,-474.5,,,,,
,,,,,,,,,,123,-508.1,,,,,
,,,,,,,,,,124,-486.9,,,,,
