名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
,,,,,,,,,,221,-567.7,,,,,
,,,,,,,,,,222,-603.3,,,,,
,,,,,,,,,,223,-640.1,,,,,
,,,,,,,,,,224,-630.1,,,,,
,,,,,,,,,,225,-587.6,,,,,
,,,,,,,,,,226,-594.6,,,,,
,,,,,,,,,,227,-628.8,,,,,
,,,,,,,,,,228,-687.3,,,,,
,,,,,,,,,,229,-765.3,,,,,
,,,,,,,,,,230,-756.5,,,,,
,,,,,,,,,,231,-746.9,,,,,
,,,,,,,,,,232,-812.0,,,,,
,,,,,,,,,,233,-780.4,,,,,
,,,,,,,,,,234,-812.1,,,,,
,,,,,,,,,,235,-749.0,,,,,
,,,,,,,,,,236,-759.5,,,,,
,,,,,,,,,,237,-792.8,,,,,
,,,,,,,,,,238,-832.4,,,,,
,,,,,,,,,,239,-862.2,,,,,
,,,,,,,,,,240,-921.4,,,,,
,,,,,,,,,,241,-886.0,,,,,
,,,,,,,,,,242,-943.5,,,,,
,,,,,,,,,,243,-916.3,,,,,
,,,,,,,,,,244,-952.5,,,,,
,,,,,,,,,,245,-967.0,,,,,
,,,,,,,,,,246,-977.4,,,,,
,,,,,,,,,,247,-902.2,,,,,
,,,,,,,,,,248,-932.8,,,,,
,,,,,,,,,,249,-888.0,,,,,
,,,,,,,,,,250,-825.5,,,,,
,,,,,,,,,,251,-863.2,,,,,
,,,,,,,,,,252,-842.7,,,,,
,,,,,,,,,,253,-835.3,,,,,
,,,,,,,,,,254,-846.1,,,,,
,,,,,,,,,,255,-862.2,,,,,
,,,,,,,,,,256,-787.4,,,,,
,,,,,,,,,,257,-866.1,,,,,
,,,,,,,,,,258,-854.5,,,,,
,,,,,,,,,,259,-851.9,,,,,
,,,,,,,,,,260,-863.0,,,,,
,,,,,,,,,,261,-885.2,,,,,
,,,,,,,,,,262,-909.5,,,,,
,,,,,,,,,,263,-960.6,,,,,
,,,,,,,,,,264,-1016.5,,,,,
,,,,,,,,,,265,-965.2,,,,,
,,,,,,,,,,266,-1022.9,,,,,
,,,,,,,,,,267,-988.2,,,,,
,,,,,,,,,,268,-976.6,,,,,
,,,,,,,,,,269,-884.0,,,,,
,,,,,,,,,,270,-893.7,,,,,
,,,,,,,,,,271,-848.7,,,,,
,,,,,,,,,,272,-859.5,,,,,
,,,,,,,,,,273,-861.8,,,,,
,,,,,,,,,,274,-886.3,,,,,
,,,,,,,,,,275,-942.2,,,,,
,,,,,,,,,,276,-879.7,,,,,
,,,,,,,,,,277,-911.8,,,,,
,,,,,,,,,,278,-919.2,,,,,
,,,,,,,,,,279,-978.7,,,,,
,,,,,,,,,,280,-919.9,,,,,
,,,,,,,,,,281,-955.9,,,,,
,,,,,,,,,,282,-959.5,,,,,
,,,,,,,,,,283,-932.0,,,,,
,,,,,,,,,,284,-898.6,,,,,
,,,,,,,,,,285,-906.2,,,,,
,,,,,,,,,,286,-862.5,,,,,
,,,,,,,,,,287,-863.0,,,,,
,,,,,,,,,,288,-895.8,,,,,
,,,,,,,,,,289,-897.6,,,,,
,,,,,,,,,,290,-954.4,,,,,
,,,,,,,,,,291,-986.9,,,,,
,,,,,,,,,,292,-999.6,,,,,
,,,,,,,,,,293,-1042.7,,,,,
,,,,,,,,,,294,-1016.2,,,,,
,,,,,,,,,,295,-975.4,,,,,
,,,,,,,,,,296,-978.4,,,,,
,,,,,,,,,,297,-919.6,,,,,
,,,,,,,,,,298,-911.0,,,,,
,,,,,,,,,,299,-946.7,,,,,
,,,,,,,,,,300,-941.5,,,,,
,,,,,,,,,,301,-948.9,,,,,
,,,,,,,,,,302,-900.9,,,,,
,,,,,,,,,,303,-973.5,,,,,
,,,,,,,,,,304,-1029.3,,,,,
,,,,,,,,,,305,-1077.7,,,,,
,,,,,,,,,,306,-1115.5,,,,,
,,,,,,,,,,307,-1107.8,,,,,
,,,,,,,,,,308,-1095.3,,,,,
,,,,,,,,,,309,-1132.6,,,,,
,,,,,,,,,,310,-1111.4,,,,,
,,,,,,,,,,311,-1135.1,,,,,
,,,,,,,,,,312,-1117.2,,,,,
,,,,,,,,,,313,-1140.7,,,,,
,,,,,,,,,,314,-1151.9,,,,,
,,,,,,,,,,315,-1194.9,,,,,
,,,,,,,,,,316,-1255.0,,,,,
,,,,,,,,,,317,-1236.3,,,,,
,,,,,,,,,,318,-1285.0,,,,,
,,,,,,,,,,319,-1282.5,,,,,
,,,,,,,,,,320,-1299.2,,,,,
,,,,,,,,,,321,-1302.0,,,,,
,,,,,,,,,,322,-1329.1,,,,,
,,,,,,,,,,323,-1317.7,,,,,
,,,,,,,,,,324,-1295.7,,,,,
,,,,,,,,,,325,-1255.3,,,,,
,,,,,,,,,,326,-1211.0,,,,,
,,,,,,,,,,327,-1242.3,,,,,
,,,,,,,,,,328,-1240.4,,,,,
,,,,,,,,,,329,-1240.7,,,,,
,,,,,,,,,,330,-1262.7,,,,,
,,,,,,,,,,331,-1263.7,,,,,
,,,,,,,,,,332,-1240.7,,,,,
,,,,,,,,,,333,-1259.4,,,,,
,,,,,,,,,,334,-1237.6,,,,,
,,,,,,,,,,335,-1253.3,,,,,
,,,,,,,,,,336,-1290.3,,,,,
,,,,,,,,,,337,-1322.5,,,,,
,,,,,,,,,,338,-1339.0,,,,,
,,,,,,,,,,339,-1314.5,,,,,
,,,,,,,,,,340,-1314.5,,,,,
,,,,,,,,,,341,-1342.3,,,,,
,,,,,,,,,,342,-1329.9,,,,,
,,,,,,,,,,343,-1338.7,,,,,
,,,,,,,,,,344,-1323.1,,,,,
,,,,,,,,,,345,-1304.7,,,,,
,,,,,,,,,,346,-1346.1,,,,,
,,,,,,,,,,347,-1342.1,,,,,
,,,,,,,,,,348,-1346.6,,,,,
,,,,,,,,,,349,-1377.1,,,,,
,,,,,,,,,,350,-1408.4,,,,,
,,,,,,,,,,351,-1430.8,,,,,
,,,,,,,,,,352,-1429.5,,,,,
,,,,,,,,,,353,-1423.9,,,,,
,,,,,,,,,,354,-1435.1,,,,,
,,,,,,,,,,355,-1481.8,,,,,
,,,,,,,,,,356,-1478.7,,,,,
,,,,,,,,,,357,-1492.5,,,,,
,,,,,,,,,,358,-1481.6,,,,,
,,,,,,,,,,359,-1464.5,,,,,
,,,,,,,,,,360,-1519.0,,,,,
,,,,,,,,,,361,-1475.8,,,,,
,,,,,,,,,,362,-1471.1,,,,,
,,,,,,,,,,363,-1454.2,,,,,
,,,,,,,,,,364,-1451.2,,,,,
,,,,,,,,,,365,-1477.0,,,,,
,,,,,,,,,,366,-1526.5,,,,,
,,,,,,,,,,367,-1531.3,,,,,
,,,,,,,,,,368,-1579.5,,,,,
,,,,,,,,,,369,-1535.0,,,,,
,,,,,,,,,,370,-1498.8,,,,,
,,,,,,,,,,371,-1543.6,,,,,
,,,,,,,,,,372,-1519.6,,,,,
,,,,,,,,,,373,-1555.3,,,,,
,,,,,,,,,,374,-1555.0,,,,,
,,,,,,,,,,375,-1564.6,,,,,
,,,,,,,,,,376,-1535.7,,,,,
,,,,,,,,,,377,-1562.5,,,,,
,,,,,,,,,,378,-1584.1,,,,,
,,,,,,,,,,379,-1583.0,,,,,
