ñºëO,ëSëÃ,,,ÉRÅ[Éh,ñ,âÒêî,äÑçá,èáà ,,âÒ,ÉXÉRÉA,,ã«,ïΩãœì_êî,âÒêî,çáåv
,,,,,,,,,,63,+0.0,,,,,
,,,,,,,,,,64,-25.5,,,,,
,,,,,,,,,,65,-65.4,,,,,
,,,,,,,,,,66,+0.0,,,,,
,,,,,,,,,,67,+24.7,,,,,
,,,,,,,,,,68,-11.1,,,,,
,,,,,,,,,,69,+0.0,,,,,
,,,,,,,,,,70,-6.5,,,,,
,,,,,,,,,,71,-51.0,,,,,
,,,,,,,,,,72,+0.0,,,,,
,,,,,,,,,,73,-33.7,,,,,
,,,,,,,,,,74,-17.2,,,,,
,,,,,,,,,,75,+0.0,,,,,
,,,,,,,,,,76,+23.9,,,,,
,,,,,,,,,,77,+15.5,,,,,
,,,,,,,,,,78,+0.0,,,,,
,,,,,,,,,,79,-37.0,,,,,
,,,,,,,,,,80,+24.5,,,,,
,,,,,,,,,,81,+0.0,,,,,
,,,,,,,,,,82,+58.0,,,,,
,,,,,,,,,,83,+41.5,,,,,
,,,,,,,,,,84,+0.0,,,,,
,,,,,,,,,,85,-8.4,,,,,
,,,,,,,,,,86,+19.3,,,,,
,,,,,,,,,,87,+0.0,,,,,
,,,,,,,,,,88,+53.3,,,,,
,,,,,,,,,,89,+14.4,,,,,
,,,,,,,,,,90,+0.0,,,,,
,,,,,,,,,,91,-14.0,,,,,
,,,,,,,,,,92,-52.0,,,,,
,,,,,,,,,,93,+0.0,,,,,
,,,,,,,,,,94,+60.7,,,,,
,,,,,,,,,,95,+40.4,,,,,
,,,,,,,,,,96,+0.0,,,,,
,,,,,,,,,,97,+50.0,,,,,
,,,,,,,,,,98,+41.5,,,,,
,,,,,,,,,,99,+0.0,,,,,
,,,,,,,,,,100,-14.0,,,,,
,,,,,,,,,,101,-52.5,,,,,
,,,,,,,,,,102,+0.0,,,,,
,,,,,,,,,,103,-3.4,,,,,
,,,,,,,,,,104,-15.0,,,,,
,,,,,,,,,,105,+0.0,,,,,
,,,,,,,,,,106,-17.1,,,,,
,,,,,,,,,,107,-16.8,,,,,
,,,,,,,,,,108,+0.0,,,,,
,,,,,,,,,,109,+21.1,,,,,
,,,,,,,,,,110,+35.8,,,,,
,,,,,,,,,,111,+0.0,,,,,
,,,,,,,,,,112,-50.6,,,,,
,,,,,,,,,,113,-2.6,,,,,
,,,,,,,,,,114,+0.0,,,,,
,,,,,,,,,,115,-8.2,,,,,
,,,,,,,,,,116,-50.0,,,,,
,,,,,,,,,,117,+0.0,,,,,
,,,,,,,,,,118,-7.0,,,,,
,,,,,,,,,,119,-12.5,,,,,
,,,,,,,,,,120,+0.0,,,,,
,,,,,,,,,,121,-36.4,,,,,
,,,,,,,,,,122,-11.5,,,,,
,,,,,,,,,,123,+0.0,,,,,
,,,,,,,,,,124,-8.5,,,,,
,,,,,,,,,,125,-5.5,,,,,
,,,,,,,,,,126,+0.0,,,,,
,,,,,,,,,,127,+8.4,,,,,
,,,,,,,,,,128,+23.9,,,,,
,,,,,,,,,,129,+0.0,,,,,
,,,,,,,,,,130,-10.4,,,,,
,,,,,,,,,,131,+0.7,,,,,
,,,,,,,,,,132,+0.0,,,,,
,,,,,,,,,,133,+27.9,,,,,
,,,,,,,,,,134,-8.0,,,,,
,,,,,,,,,,135,+0.0,,,,,
,,,,,,,,,,136,-20.5,,,,,
,,,,,,,,,,137,-25.2,,,,,
,,,,,,,,,,138,+0.0,,,,,
,,,,,,,,,,139,-31.1,,,,,
,,,,,,,,,,140,-62.3,,,,,
,,,,,,,,,,141,+0.0,,,,,
,,,,,,,,,,142,+16.2,,,,,
,,,,,,,,,,143,-8.6,,,,,
,,,,,,,,,,144,+0.0,,,,,
,,,,,,,,,,145,-4.9,,,,,
,,,,,,,,,,146,-16.8,,,,,
,,,,,,,,,,147,+0.0,,,,,
,,,,,,,,,,148,+12.8,,,,,
,,,,,,,,,,149,+16.7,,,,,
,,,,,,,,,,150,+0.0,,,,,
,,,,,,,,,,151,+0.7,,,,,
,,,,,,,,,,152,+43.9,,,,,
,,,,,,,,,,153,+0.0,,,,,
,,,,,,,,,,154,-6.7,,,,,
,,,,,,,,,,155,-9.5,,,,,
,,,,,,,,,,156,+0.0,,,,,
,,,,,,,,,,157,-28.0,,,,,
,,,,,,,,,,158,-83.0,,,,,
,,,,,,,,,,159,+0.0,,,,,
,,,,,,,,,,160,+16.7,,,,,
,,,,,,,,,,161,-21.0,,,,,
,,,,,,,,,,162,+0.0,,,,,
,,,,,,,,,,163,-7.0,,,,,
,,,,,,,,,,164,-12.9,,,,,
,,,,,,,,,,165,+0.0,,,,,
,,,,,,,,,,166,+31.6,,,,,
,,,,,,,,,,167,+37.8,,,,,
,,,,,,,,,,168,+0.0,,,,,
,,,,,,,,,,169,+15.8,,,,,
,,,,,,,,,,170,-30.3,,,,,
,,,,,,,,,,171,+0.0,,,,,
,,,,,,,,,,172,+57.0,,,,,
,,,,,,,,,,173,+6.5,,,,,
,,,,,,,,,,174,+0.0,,,,,
,,,,,,,,,,175,+5.3,,,,,
,,,,,,,,,,176,+11.6,,,,,
,,,,,,,,,,177,+0.0,,,,,
,,,,,,,,,,178,-36.2,,,,,
,,,,,,,,,,179,-17.5,,,,,
,,,,,,,,,,180,+0.0,,,,,
,,,,,,,,,,181,-46.1,,,,,
,,,,,,,,,,182,-41.0,,,,,
,,,,,,,,,,183,+0.0,,,,,
,,,,,,,,,,184,+35.0,,,,,
,,,,,,,,,,185,+10.5,,,,,
,,,,,,,,,,186,+0.0,,,,,
,,,,,,,,,,187,+21.1,,,,,
,,,,,,,,,,188,+7.2,,,,,
,,,,,,,,,,189,+0.0,,,,,
,,,,,,,,,,190,-66.0,,,,,
,,,,,,,,,,191,-74.3,,,,,
,,,,,,,,,,192,+0.0,,,,,
,,,,,,,,,,193,-5.0,,,,,
,,,,,,,,,,194,-50.0,,,,,
,,,,,,,,,,195,+0.0,,,,,
,,,,,,,,,,196,+1.0,,,,,
,,,,,,,,,,197,-35.0,,,,,
,,,,,,,,,,198,+0.0,,,,,
,,,,,,,,,,199,+31.6,,,,,
,,,,,,,,,,200,+0.3,,,,,
,,,,,,,,,,201,+0.0,,,,,
,,,,,,,,,,202,-19.0,,,,,
,,,,,,,,,,203,+45.0,,,,,
,,,,,,,,,,204,+0.0,,,,,
,,,,,,,,,,205,-9.9,,,,,
,,,,,,,,,,206,-6.8,,,,,
,,,,,,,,,,207,+0.0,,,,,
,,,,,,,,,,208,+0.9,,,,,
,,,,,,,,,,209,+2.1,,,,,
,,,,,,,,,,210,+0.0,,,,,
,,,,,,,,,,211,+32.3,,,,,
,,,,,,,,,,212,+35.1,,,,,
,,,,,,,,,,213,+0.0,,,,,
,,,,,,,,,,214,-46.0,,,,,
,,,,,,,,,,215,-1.4,,,,,
,,,,,,,,,,216,+0.0,,,,,
,,,,,,,,,,217,+28.4,,,,,
,,,,,,,,,,218,+27.0,,,,,
,,,,,,,,,,219,+0.0,,,,,
,,,,,,,,,,220,-7.4,,,,,
,,,,,,,,,,221,-47.1,,,,,
,,,,,,,,,,222,+0.0,,,,,
,,,,,,,,,,223,+18.3,,,,,
,,,,,,,,,,224,-14.8,,,,,
,,,,,,,,,,225,+0.0,,,,,
,,,,,,,,,,226,-13.9,,,,,
,,,,,,,,,,227,-32.1,,,,,
,,,,,,,,,,228,+0.0,,,,,
,,,,,,,,,,229,+40.0,,,,,
,,,,,,,,,,230,-0.4,,,,,
,,,,,,,,,,231,+0.0,,,,,
,,,,,,,,,,232,+5.2,,,,,
,,,,,,,,,,233,-5.8,,,,,
,,,,,,,,,,234,+0.0,,,,,
,,,,,,,,,,235,-13.7,,,,,
,,,,,,,,,,236,-29.5,,,,,
,,,,,,,,,,237,+0.0,,,,,
,,,,,,,,,,238,-23.0,,,,,
,,,,,,,,,,239,-44.9,,,,,
,,,,,,,,,,240,+0.0,,,,,
,,,,,,,,,,241,+5.1,,,,,
,,,,,,,,,,242,+16.4,,,,,
,,,,,,,,,,243,+0.0,,,,,
,,,,,,,,,,244,+31.9,,,,,
,,,,,,,,,,245,+38.0,,,,,
,,,,,,,,,,246,+0.0,,,,,
,,,,,,,,,,247,+40.0,,,,,
,,,,,,,,,,248,-4.0,,,,,
,,,,,,,,,,249,+0.0,,,,,
,,,,,,,,,,250,+22.5,,,,,
,,,,,,,,,,251,-18.5,,,,,
,,,,,,,,,,252,+0.0,,,,,
,,,,,,,,,,253,+31.5,,,,,
,,,,,,,,,,254,+20.7,,,,,
,,,,,,,,,,255,+0.0,,,,,
,,,,,,,,,,256,+59.8,,,,,
,,,,,,,,,,257,+24.3,,,,,
,,,,,,,,,,258,+0.0,,,,,
,,,,,,,,,,259,+11.1,,,,,
,,,,,,,,,,260,-16.0,,,,,
,,,,,,,,,,261,+0.0,,,,,
,,,,,,,,,,262,+1.6,,,,,
,,,,,,,,,,263,+24.2,,,,,
,,,,,,,,,,264,+0.0,,,,,
,,,,,,,,,,265,-21.4,,,,,
,,,,,,,,,,266,-5.8,,,,,
,,,,,,,,,,267,+0.0,,,,,
,,,,,,,,,,268,+3.5,,,,,
,,,,,,,,,,269,+4.1,,,,,
,,,,,,,,,,270,+0.0,,,,,
,,,,,,,,,,271,-43.4,,,,,
,,,,,,,,,,272,-3.2,,,,,
,,,,,,,,,,273,+0.0,,,,,
,,,,,,,,,,274,-45.5,,,,,
,,,,,,,,,,275,-28.0,,,,,
,,,,,,,,,,276,+0.0,,,,,
,,,,,,,,,,277,-0.6,,,,,
,,,,,,,,,,278,-39.1,,,,,
,,,,,,,,,,279,+0.0,,,,,
,,,,,,,,,,280,+26.4,,,,,
,,,,,,,,,,281,-2.0,,,,,
,,,,,,,,,,282,+0.0,,,,,
,,,,,,,,,,283,+9.7,,,,,
,,,,,,,,,,284,-32.7,,,,,
,,,,,,,,,,285,+0.0,,,,,
,,,,,,,,,,286,+21.1,,,,,
,,,,,,,,,,287,-14.6,,,,,
,,,,,,,,,,288,+0.0,,,,,
,,,,,,,,,,289,-48.7,,,,,
,,,,,,,,,,290,-48.0,,,,,
,,,,,,,,,,291,+0.0,,,,,
,,,,,,,,,,292,-16.0,,,,,
,,,,,,,,,,293,-3.8,,,,,
,,,,,,,,,,294,+0.0,,,,,
,,,,,,,,,,295,+43.1,,,,,
,,,,,,,,,,296,+5.8,,,,,
,,,,,,,,,,297,+0.0,,,,,
,,,,,,,,,,298,-6.0,,,,,
,,,,,,,,,,299,-57.9,,,,,
,,,,,,,,,,300,+0.0,,,,,
,,,,,,,,,,301,-37.5,,,,,
,,,,,,,,,,302,-49.5,,,,,
,,,,,,,,,,303,+0.0,,,,,
,,,,,,,,,,304,-39.5,,,,,
,,,,,,,,,,305,+9.5,,,,,
,,,,,,,,,,306,+0.0,,,,,
,,,,,,,,,,307,+11.1,,,,,
,,,,,,,,,,308,-2.7,,,,,
,,,,,,,,,,309,+0.0,,,,,
,,,,,,,,,,310,-2.0,,,,,
,,,,,,,,,,311,+39.0,,,,,
,,,,,,,,,,312,+0.0,,,,,
,,,,,,,,,,313,+43.5,,,,,
,,,,,,,,,,314,+40.1,,,,,
,,,,,,,,,,315,+0.0,,,,,
,,,,,,,,,,316,-5.6,,,,,
,,,,,,,,,,317,+66.0,,,,,
,,,,,,,,,,318,+0.0,,,,,
,,,,,,,,,,319,-7.4,,,,,
,,,,,,,,,,320,+24.1,,,,,
,,,,,,,,,,321,+0.0,,,,,
,,,,,,,,,,322,-38.0,,,,,
,,,,,,,,,,323,-2.6,,,,,
,,,,,,,,,,324,+0.0,,,,,
,,,,,,,,,,325,-18.8,,,,,
,,,,,,,,,,326,-7.3,,,,,
,,,,,,,,,,327,+0.0,,,,,
,,,,,,,,,,328,+27.0,,,,,
,,,,,,,,,,329,+36.1,,,,,
,,,,,,,,,,330,+0.0,,,,,
,,,,,,,,,,331,+44.6,,,,,
,,,,,,,,,,332,+39.4,,,,,
,,,,,,,,,,333,+0.0,,,,,
,,,,,,,,,,334,+7.0,,,,,
,,,,,,,,,,335,+40.0,,,,,
,,,,,,,,,,336,+0.0,,,,,
,,,,,,,,,,337,-11.3,,,,,
,,,,,,,,,,338,-6.1,,,,,
,,,,,,,,,,339,+0.0,,,,,
,,,,,,,,,,340,-15.5,,,,,
,,,,,,,,,,341,-51.0,,,,,
,,,,,,,,,,342,+0.0,,,,,
,,,,,,,,,,343,-19.3,,,,,
,,,,,,,,,,344,-3.1,,,,,
,,,,,,,,,,345,+0.0,,,,,
,,,,,,,,,,346,+24.0,,,,,
,,,,,,,,,,347,+18.1,,,,,
,,,,,,,,,,348,+0.0,,,,,
,,,,,,,,,,349,+28.3,,,,,
,,,,,,,,,,350,+8.1,,,,,
,,,,,,,,,,351,+0.0,,,,,
,,,,,,,,,,352,-31.5,,,,,
,,,,,,,,,,353,+18.5,,,,,
,,,,,,,,,,354,+0.0,,,,,
,,,,,,,,,,355,+19.5,,,,,
,,,,,,,,,,356,+7.4,,,,,
,,,,,,,,,,357,+0.0,,,,,
,,,,,,,,,,358,-5.4,,,,,
,,,,,,,,,,359,+10.4,,,,,
,,,,,,,,,,360,+0.0,,,,,
,,,,,,,,,,361,+56.0,,,,,
,,,,,,,,,,362,+38.0,,,,,
,,,,,,,,,,363,+0.0,,,,,
,,,,,,,,,,364,+43.0,,,,,
,,,,,,,,,,365,+2.0,,,,,
,,,,,,,,,,366,+0.0,,,,,
,,,,,,,,,,367,-14.0,,,,,
,,,,,,,,,,368,-21.2,,,,,
,,,,,,,,,,369,+0.0,,,,,
,,,,,,,,,,370,-48.4,,,,,
,,,,,,,,,,371,-15.0,,,,,
,,,,,,,,,,372,+0.0,,,,,
,,,,,,,,,,373,+44.9,,,,,
,,,,,,,,,,374,+39.3,,,,,
,,,,,,,,,,375,+0.0,,,,,
,,,,,,,,,,376,+17.1,,,,,
,,,,,,,,,,377,-9.9,,,,,
,,,,,,,,,,378,+0.0,,,,,
,,,,,,,,,,379,-38.0,,,,,
,,,,,,,,,,380,-32.8,,,,,
,,,,,,,,,,381,+0.0,,,,,
,,,,,,,,,,382,+16.5,,,,,
,,,,,,,,,,383,+8.8,,,,,
,,,,,,,,,,384,+0.0,,,,,
,,,,,,,,,,385,+8.7,,,,,
,,,,,,,,,,386,+20.3,,,,,
,,,,,,,,,,387,+0.0,,,,,
,,,,,,,,,,388,+20.7,,,,,
,,,,,,,,,,389,-22.8,,,,,
,,,,,,,,,,390,+0.0,,,,,
,,,,,,,,,,391,+15.3,,,,,
,,,,,,,,,,392,+8.5,,,,,
,,,,,,,,,,393,+0.0,,,,,
,,,,,,,,,,394,+11.6,,,,,
,,,,,,,,,,395,+31.2,,,,,
,,,,,,,,,,396,+0.0,,,,,
,,,,,,,,,,397,+8.2,,,,,
,,,,,,,,,,398,-11.8,,,,,
,,,,,,,,,,399,+0.0,,,,,
,,,,,,,,,,400,+24.5,,,,,
,,,,,,,,,,401,+19.6,,,,,
,,,,,,,,,,402,+0.0,,,,,
,,,,,,,,,,403,+16.9,,,,,
,,,,,,,,,,404,+18.1,,,,,
,,,,,,,,,,405,+0.0,,,,,
,,,,,,,,,,406,-37.5,,,,,
,,,,,,,,,,407,-12.0,,,,,
,,,,,,,,,,408,+0.0,,,,,
,,,,,,,,,,409,+38.5,,,,,
,,,,,,,,,,410,+0.5,,,,,
,,,,,,,,,,411,+0.0,,,,,
,,,,,,,,,,412,-46.5,,,,,
,,,,,,,,,,413,-42.0,,,,,
,,,,,,,,,,414,+0.0,,,,,
,,,,,,,,,,415,+13.2,,,,,
,,,,,,,,,,416,+5.8,,,,,
,,,,,,,,,,417,+0.0,,,,,
,,,,,,,,,,418,-19.5,,,,,
,,,,,,,,,,419,-1.7,,,,,
,,,,,,,,,,420,+0.0,,,,,
,,,,,,,,,,421,+41.4,,,,,
,,,,,,,,,,422,+15.0,,,,,
,,,,,,,,,,423,+0.0,,,,,
,,,,,,,,,,424,+27.1,,,,,
,,,,,,,,,,425,-23.5,,,,,
,,,,,,,,,,426,+0.0,,,,,
,,,,,,,,,,427,+8.5,,,,,
,,,,,,,,,,428,+34.2,,,,,
,,,,,,,,,,429,+0.0,,,,,
,,,,,,,,,,430,+4.8,,,,,
,,,,,,,,,,431,-12.0,,,,,
,,,,,,,,,,432,+0.0,,,,,
,,,,,,,,,,433,+43.3,,,,,
,,,,,,,,,,434,+35.5,,,,,
,,,,,,,,,,435,+0.0,,,,,
,,,,,,,,,,436,+26.0,,,,,
,,,,,,,,,,437,+20.7,,,,,
,,,,,,,,,,438,+0.0,,,,,
,,,,,,,,,,439,+11.0,,,,,
,,,,,,,,,,440,-21.8,,,,,
,,,,,,,,,,441,+0.0,,,,,
,,,,,,,,,,442,+41.0,,,,,
,,,,,,,,,,443,-4.5,,,,,
,,,,,,,,,,444,+0.0,,,,,
,,,,,,,,,,445,+25.0,,,,,
,,,,,,,,,,446,-10.5,,,,,
,,,,,,,,,,447,+0.0,,,,,
,,,,,,,,,,448,-19.8,,,,,
,,,,,,,,,,449,-29.8,,,,,
,,,,,,,,,,450,+0.0,,,,,
,,,,,,,,,,451,+37.6,,,,,
,,,,,,,,,,452,+36.5,,,,,
,,,,,,,,,,453,+0.0,,,,,
,,,,,,,,,,454,+7.8,,,,,
,,,,,,,,,,455,-29.4,,,,,
,,,,,,,,,,456,+0.0,,,,,
,,,,,,,,,,457,+68.1,,,,,
,,,,,,,,,,458,+26.8,,,,,
,,,,,,,,,,459,+0.0,,,,,
,,,,,,,,,,460,-2.0,,,,,
,,,,,,,,,,461,-18.4,,,,,
,,,,,,,,,,462,+0.0,,,,,
,,,,,,,,,,463,+5.2,,,,,
,,,,,,,,,,464,-26.5,,,,,
,,,,,,,,,,465,+0.0,,,,,
,,,,,,,,,,466,+16.2,,,,,
,,,,,,,,,,467,+11.3,,,,,
,,,,,,,,,,468,+0.0,,,,,
,,,,,,,,,,469,+24.2,,,,,
,,,,,,,,,,470,+9.3,,,,,
,,,,,,,,,,471,+0.0,,,,,
,,,,,,,,,,472,+20.6,,,,,
,,,,,,,,,,473,-25.1,,,,,
,,,,,,,,,,474,+0.0,,,,,
,,,,,,,,,,475,+7.3,,,,,
,,,,,,,,,,476,+33.5,,,,,
,,,,,,,,,,477,+0.0,,,,,
,,,,,,,,,,478,+4.8,,,,,
,,,,,,,,,,479,+37.5,,,,,
,,,,,,,,,,480,+0.0,,,,,
,,,,,,,,,,481,+4.1,,,,,
,,,,,,,,,,482,+9.4,,,,,
,,,,,,,,,,483,+0.0,,,,,
,,,,,,,,,,484,-12.0,,,,,
,,,,,,,,,,485,-0.5,,,,,
,,,,,,,,,,486,+0.0,,,,,
,,,,,,,,,,487,+12.5,,,,,
,,,,,,,,,,488,+0.4,,,,,
,,,,,,,,,,489,+0.0,,,,,
,,,,,,,,,,490,-12.9,,,,,
,,,,,,,,,,491,-18.1,,,,,
,,,,,,,,,,492,+0.0,,,,,
,,,,,,,,,,493,+15.6,,,,,
,,,,,,,,,,494,-22.8,,,,,
,,,,,,,,,,495,+0.0,,,,,
,,,,,,,,,,496,+15.6,,,,,
,,,,,,,,,,497,+2.8,,,,,
