名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
アガリ,197 回,26.3%,,24,混老頭,2 回,1.02%,2 位,,18,-91.0,1636,,だいち,-6.20,72 回,-446.1
放銃,152 回,20.3%,,15,ダブル立直,1 回,0.51%,3 位,,19,-143.4,1627,,まっつん,-8.79,15 回,-131.8
ツモ,89 回,45.2%,,17,チャンタ,1 回,0.51%,7 位,,20,-101.2,1634,,いちかわ,-9.06,22 回,-199.4
ロン,108 回,54.8%,,27,純チャン,1 回,0.51%,3 位,,21,-99.3,1634,,ただ,-12.99,19 回,-246.8
リーチアガリ,101 回,51.3%,,31,国士無双,1 回,0.51%,2 位,,22,-95.2,1635,,りくと,-13.53,4 回,-54.1
副露アガリ,57 回,28.9%,,12,河底撈魚,0 回,0.00%,1 位,,23,-75.0,1638,,,,,
ダマアガリ,39 回,19.8%,,13,嶺上開花,0 回,0.00%,5 位,,24,-77.4,1637,,,,,
平均アガリ点,9403,1852300,,14,槍槓,0 回,0.00%,1 位,,25,-83.6,1636,,,,,
門前アガリ点,10215,1430100,,19,三色同刻,0 回,0.00%,3 位,,26,-84.5,1635,,,,,
副露アガリ点,7407,422200,,21,三槓子,0 回,0.00%,1 位,,27,-32.3,1644,,,,,
平均放銃点,-7680,-1167300,,23,小三元,0 回,0.00%,3 位,,28,-67.1,1638,,,,,
連続アガリ,4 回,0 回,,26,二盃口,0 回,0.00%,1 位,,29,-63.7,1639,,,,,
連続無放銃,25 回,0 回,,29,流し満貫,0 回,0.00%,5 位,,30,-76.0,1636,,,,,
最大ドラ数,7 個,,,32,四暗刻,0 回,0.00%,4 位,,31,-92.6,1634,,,,,
最高点,94700,,,33,字一色,0 回,0.00%,1 位,,32,-41.7,1643,,,,,
チョンボ,1 回,0.1%,,34,大三元,0 回,0.00%,1 位,,33,-37.2,1644,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-77.9,1636,,,,,
1翻,10 回,5.1%,,36,小四喜,0 回,0.00%,1 位,,35,-73.2,1637,,,,,
2翻,20 回,10.2%,,37,緑一色,0 回,0.00%,1 位,,36,-91.0,1634,,,,,
3翻,36 回,18.3%,,38,清老頭,0 回,0.00%,1 位,,37,-85.9,1634,,,,,
4翻,40 回,20.3%,,39,四槓子,0 回,0.00%,1 位,,38,-74.9,1637,,,,,
5翻,38 回,19.3%,,40,九蓮宝燈,0 回,0.00%,1 位,,39,-120.2,1629,,,,,
6翻,22 回,11.2%,,41,天和,0 回,0.00%,3 位,,40,-119.5,1629,,,,,
7翻,11 回,5.6%,,42,地和,0 回,0.00%,1 位,,41,-150.2,1623,,,,,
8翻,8 回,4.1%,,43,人和,0 回,0.00%,1 位,,42,-207.8,1612,,,,,
9翻,7 回,3.6%,,44,国士13面,0 回,0.00%,1 位,,43,-202.5,1613,,,,,
10翻,2 回,1.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,44,-155.4,1621,,,,,
11翻,1 回,0.5%,,46,純正九蓮,0 回,0.00%,1 位,,45,-143.2,1624,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,46,-193.2,1615,,,,,
13翻～,2 回,1.0%,,48,大竹林,0 回,0.00%,1 位,,47,-153.3,1622,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-158.7,1621,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,-139.1,1625,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,-157.8,1622,,,,,
,,,,,,,,,,51,-111.6,1630,,,,,
,,,,,,,,,,52,-107.9,1631,,,,,
,,,,,,,,,,53,-130.0,1626,,,,,
,,,,,,,,,,54,-97.8,1631,,,,,
,,,,,,,,,,55,-100.8,1630,,,,,
,,,,,,,,,,56,-96.4,1631,,,,,
,,,,,,,,,,57,-59.1,1638,,,,,
,,,,,,,,,,58,-39.6,1642,,,,,
,,,,,,,,,,59,-66.0,1637,,,,,
,,,,,,,,,,60,-111.7,1628,,,,,
,,,,,,,,,,61,-95.7,1631,,,,,
,,,,,,,,,,62,-130.6,1625,,,,,
,,,,,,,,,,63,-129.0,1626,,,,,
,,,,,,,,,,64,-129.5,1626,,,,,
,,,,,,,,,,65,-92.4,1632,,,,,
,,,,,,,,,,66,-141.4,1624,,,,,
,,,,,,,,,,67,-112.7,1629,,,,,
,,,,,,,,,,68,-163.2,1620,,,,,
,,,,,,,,,,69,-122.6,1627,,,,,
,,,,,,,,,,70,-134.8,1625,,,,,
,,,,,,,,,,71,-102.2,1631,,,,,
,,,,,,,,,,72,-87.7,1633,,,,,
,,,,,,,,,,73,-121.2,1627,,,,,
,,,,,,,,,,74,-96.3,1632,,,,,
,,,,,,,,,,75,-101.7,1631,,,,,
,,,,,,,,,,76,-119.2,1627,,,,,
,,,,,,,,,,77,-113.6,1628,,,,,
,,,,,,,,,,78,-103.9,1630,,,,,
,,,,,,,,,,79,-111.3,1629,,,,,
,,,,,,,,,,80,-86.9,1633,,,,,
,,,,,,,,,,81,-132.9,1625,,,,,
,,,,,,,,,,82,-164.0,1619,,,,,
,,,,,,,,,,83,-182.6,1616,,,,,
,,,,,,,,,,84,-180.0,1617,,,,,
